COSEWIC common name,COSEWIC population,COSEWIC status,COSEWIC last assessment date,Scientific name,Legal common name,Legal population,Schedule status,Last status change,SARA schedule,Date added,Range,Taxonomic group,Under consideration for,GIC decision
Sockeye Salmon,Momich-ES population (original),Endangered,2021-12-01,Oncorhynchus nerka,Sockeye Salmon,Momich-ES population (original),No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Nadina-Francois-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Nahatlatch-ES population,Special Concern,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Nahatlatch-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population,Threatened,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,North Barriere-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,North Barriere-ES population (original),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Pitt-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Quesnel-S population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Quesnel-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Sakinaw population,Endangered,2016-04-29,Oncorhynchus nerka,Sockeye Salmon,Sakinaw population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-L population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Seton-L population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Seton-S population (original),Extinct,2021-12-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap Complex-L population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Shuswap-ES population,Not at Risk,2017-11-01,Oncorhynchus nerka,,,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),,
Sockeye Salmon,Takla-Trembleur-EStu population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Takla-Trembleur-EStu population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Takla-Trembleur-Stuart-S population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Takla-Trembleur-Stuart-S population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Taseko-ES population,Endangered,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Taseko-ES population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Sockeye Salmon,Widgeon (River-Type) population,Threatened,2017-11-01,Oncorhynchus nerka,Sockeye Salmon,Widgeon (River-Type) population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Spinynose Sculpin,,Data Deficient,1997-04-01,Asemichthys taylori,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Steelhead Trout,Chilcotin River population,Endangered,2020-11-04,Oncorhynchus mykiss,Steelhead Trout,Chilcotin River population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Steelhead Trout,Thompson River population,Endangered,2020-11-04,Oncorhynchus mykiss,Steelhead Trout,Thompson River population,No Status,,No schedule,,"British Columbia, Pacific Ocean",Fishes (marine),Addition,Pending
Tope,,Special Concern,2021-05-05,Galeorhinus galeus,Tope,,Special Concern,2009-03-05,Schedule 1,2009-03-05,"British Columbia, Pacific Ocean",Fishes (marine),,Added to list
White Shark,Pacific population,Data Deficient,2006-04-29,Carcharodon carcharias,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Wolf-eel,,Not at Risk,2003-05-01,Anarrhichthys ocellatus,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Y-Prickleback,,Not at Risk,1991-04-01,Allolumpenus hypochromus,,,No Status,,No schedule,,Pacific Ocean,Fishes (marine),,
Yelloweye Rockfish,Pacific Ocean inside waters population,Threatened,2020-11-04,Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean inside waters population,Special Concern,,Schedule 1,2011-06-23,"British Columbia, Pacific Ocean",Fishes (marine),Status change,Pending
Yelloweye Rockfish,Pacific Ocean outside waters population,Threatened,2020-11-04,Sebastes ruberrimus,Yelloweye Rockfish,Pacific Ocean outside waters population,Special Concern,,Schedule 1,2011-06-23,"British Columbia, Pacific Ocean",Fishes (marine),Status change,Pending
Yellowmouth Rockfish,,Threatened,2010-04-25,Sebastes reedi,Yellowmouth Rockfish,,No Status,2017-04-13,No schedule,,Pacific Ocean,Fishes (marine),,Not to list
